,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
0,Chan Sung Jung,Punches,KO/TKO,Frankie Edgar,1,1,46,0,0,3:18,Win,Featherweight
1,Frankie Edgar,Punches,KO/TKO,Chan Sung Jung,0,1,9,0,0,3:18,Loss,Featherweight
2,Volkan Oezdemir,,S-DEC,Aleksandar Rakic,0,3,63,0,0,5:00,Win,Light Heavyweight
3,Aleksandar Rakic,,S-DEC,Volkan Oezdemir,0,3,75,1,1,5:00,Loss,Light Heavyweight
4,Charles Jourdain,Punches,KO/TKO,Dooho Choi,0,2,64,0,0,4:32,Win,Featherweight
5,Dooho Choi,Punches,KO/TKO,Charles Jourdain,0,2,42,0,0,4:32,Loss,Featherweight
6,Da-Un Jung,Punch,KO/TKO,Mike Rodriguez,0,1,5,0,0,1:04,Win,Light Heavyweight
7,Mike Rodriguez,Punch,KO/TKO,Da-Un Jung,0,1,4,0,0,1:04,Loss,Light Heavyweight
8,Junyong Park,,U-DEC,Marc-Andre Barriault,0,3,77,0,5,5:00,Win,Middleweight
9,Marc-Andre Barriault,,U-DEC,Junyong Park,0,3,51,0,0,5:00,Loss,Middleweight
10,Kyung Ho Kang,,S-DEC,Liu Pingyuan,2,3,20,0,3,5:00,Win,Bantamweight
11,Liu Pingyuan,,S-DEC,Kyung Ho Kang,0,3,25,0,0,5:00,Loss,Bantamweight
12,Ciryl Gane,,U-DEC,Tanner Boser,0,3,65,0,0,5:00,Win,Heavyweight
13,Tanner Boser,,U-DEC,Ciryl Gane,0,3,32,0,0,5:00,Loss,Heavyweight
14,SeungWoo Choi,,U-DEC,Suman Mokhtarian,2,3,95,0,0,5:00,Win,Featherweight
15,Suman Mokhtarian,,U-DEC,SeungWoo Choi,0,3,33,0,0,5:00,Loss,Featherweight
16,Omar Morales,,U-DEC,Dong Hyun Ma,3,3,32,0,1,5:00,Win,Lightweight
17,Dong Hyun Ma,,U-DEC,Omar Morales,0,3,15,0,0,5:00,Loss,Lightweight
18,Alexandre Pantoja,Punch,KO/TKO,Matt Schnell,1,1,34,0,1,4:17,Win,Flyweight
19,Matt Schnell,Punch,KO/TKO,Alexandre Pantoja,0,1,20,0,0,4:17,Loss,Flyweight
20,Raoni Barcelos,,U-DEC,Said Nurmagomedov,4,3,42,0,2,5:00,Win,Bantamweight
21,Said Nurmagomedov,,U-DEC,Raoni Barcelos,0,3,55,0,0,5:00,Loss,Bantamweight
22,Amanda Lemos,Rear Naked Choke,SUB,Miranda Granger,1,1,8,1,1,3:43,Win,Women's Strawweight
23,Miranda Granger,Rear Naked Choke,SUB,Amanda Lemos,0,1,4,0,0,3:43,Loss,Women's Strawweight
24,Heili Alateng,,S-DEC,Ryan Benoit,0,3,47,0,4,5:00,Win,Bantamweight
25,Ryan Benoit,,S-DEC,Heili Alateng,0,3,68,0,0,5:00,Loss,Bantamweight
26,Kamaru Usman,Punch,KO/TKO,Colby Covington,0,5,175,0,0,4:10,Win,Welterweight
27,Colby Covington,Punch,KO/TKO,Kamaru Usman,0,5,143,0,0,4:10,Loss,Welterweight
28,Alexander Volkanovski,,U-DEC,Max Holloway,0,5,157,0,0,5:00,Win,Featherweight
29,Max Holloway,,U-DEC,Alexander Volkanovski,0,5,134,0,0,5:00,Loss,Featherweight
30,Amanda Nunes,,U-DEC,Germaine de Randamie,5,5,79,2,8,5:00,Win,Women's Bantamweight
31,Germaine de Randamie,,U-DEC,Amanda Nunes,0,5,40,1,0,5:00,Loss,Women's Bantamweight
32,Marlon Moraes,,S-DEC,Jose Aldo,1,3,59,0,1,5:00,Win,Bantamweight
33,Jose Aldo,,S-DEC,Marlon Moraes,0,3,58,0,0,5:00,Loss,Bantamweight
34,Petr Yan,Kick,KO/TKO,Urijah Faber,1,3,54,0,2,0:43,Win,Bantamweight
35,Urijah Faber,Kick,KO/TKO,Petr Yan,0,3,18,0,0,0:43,Loss,Bantamweight
36,Geoff Neal,Punches,KO/TKO,Mike Perry,0,1,15,0,0,1:30,Win,Welterweight
37,Mike Perry,Punches,KO/TKO,Geoff Neal,0,1,5,0,0,1:30,Loss,Welterweight
38,Irene Aldana,Punch,KO/TKO,Ketlen Vieira,0,1,26,0,0,4:51,Win,Women's Bantamweight
39,Ketlen Vieira,Punch,KO/TKO,Irene Aldana,0,1,20,0,0,4:51,Loss,Women's Bantamweight
40,Omari Akhmedov,,U-DEC,Ian Heinisch,1,3,55,0,2,5:00,Win,Middleweight
41,Ian Heinisch,,U-DEC,Omari Akhmedov,0,3,53,0,3,5:00,Loss,Middleweight
42,Matt Brown,Punches,KO/TKO,Ben Saunders,3,2,30,0,2,4:55,Win,Welterweight
43,Ben Saunders,Punches,KO/TKO,Matt Brown,0,2,12,4,0,4:55,Loss,Welterweight
44,Chase Hooper,Elbows,KO/TKO,Daniel Teymur,2,1,20,2,1,4:34,Win,Featherweight
45,Daniel Teymur,Elbows,KO/TKO,Chase Hooper,0,1,2,1,0,4:34,Loss,Featherweight
46,Brandon Moreno,,U-DEC,Kai Kara-France,0,3,91,0,0,5:00,Win,Flyweight
47,Kai Kara-France,,U-DEC,Brandon Moreno,0,3,82,0,0,5:00,Loss,Flyweight
48,Jessica Eye,,U-DEC,Viviane Araujo,0,3,98,0,0,5:00,Win,Women's Flyweight
49,Viviane Araujo,,U-DEC,Jessica Eye,2,3,56,0,2,5:00,Loss,Women's Flyweight
50,Punahele Soriano,Punch,KO/TKO,Oskar Piechota,2,1,26,0,1,3:17,Win,Middleweight
51,Oskar Piechota,Punch,KO/TKO,Punahele Soriano,0,1,8,0,0,3:17,Loss,Middleweight
52,Jairzinho Rozenstruik,Punch,KO/TKO,Alistair Overeem,0,5,89,0,0,4:56,Win,Heavyweight
53,Alistair Overeem,Punch,KO/TKO,Jairzinho Rozenstruik,3,5,74,0,2,4:56,Loss,Heavyweight
54,Marina Rodriguez,,M-DEC,Cynthia Calvillo,0,3,56,0,0,5:00,Draw,Women's Strawweight
55,Cynthia Calvillo,,M-DEC,Marina Rodriguez,7,3,78,0,3,5:00,Draw,Women's Strawweight
56,Ben Rothwell,Punches,KO/TKO,Stefan Struve,0,2,58,0,0,4:57,Win,Heavyweight
57,Stefan Struve,Punches,KO/TKO,Ben Rothwell,0,2,53,0,0,4:57,Loss,Heavyweight
58,Aspen Ladd,Punches,KO/TKO,Yana Kunitskaya,3,3,47,0,2,0:33,Win,Women's Bantamweight
59,Yana Kunitskaya,Punches,KO/TKO,Aspen Ladd,0,3,47,0,0,0:33,Loss,Women's Bantamweight
60,Cody Stamann,,M-DEC,Song Yadong,6,3,41,0,5,5:00,Draw,Bantamweight
61,Song Yadong,,M-DEC,Cody Stamann,0,3,30,0,0,5:00,Draw,Bantamweight
62,Rob Font,,U-DEC,Ricky Simon,0,3,90,0,1,5:00,Win,Bantamweight
63,Ricky Simon,,U-DEC,Rob Font,3,3,59,0,6,5:00,Loss,Bantamweight
64,Tim Means,Guillotine Choke,SUB,Thiago Alves,0,1,23,1,0,2:38,Win,Welterweight
65,Thiago Alves,Guillotine Choke,SUB,Tim Means,0,1,13,0,0,2:38,Loss,Welterweight
66,Billy Quarantillo,Triangle Choke,SUB,Jacob Kilburn,9,2,74,5,1,3:18,Win,Featherweight
67,Jacob Kilburn,Triangle Choke,SUB,Billy Quarantillo,0,2,3,0,0,3:18,Loss,Featherweight
68,Bryce Mitchell,Other,SUB,Matt Sayles,5,1,6,1,1,4:20,Win,Featherweight
69,Matt Sayles,Other,SUB,Bryce Mitchell,0,1,2,0,0,4:20,Loss,Featherweight
70,Joe Solecki,,U-DEC,Matt Wiman,6,3,56,0,4,5:00,Win,Lightweight
71,Matt Wiman,,U-DEC,Joe Solecki,0,3,10,0,0,5:00,Loss,Lightweight
72,Virna Jandiroba,Rear Naked Choke,SUB,Mallory Martin,5,2,7,3,3,1:16,Win,Women's Strawweight
73,Mallory Martin,Rear Naked Choke,SUB,Virna Jandiroba,0,2,9,0,0,1:16,Loss,Women's Strawweight
74,Makhmud Muradov,Punch,KO/TKO,Trevor Smith,1,3,91,1,1,4:09,Win,Middleweight
75,Trevor Smith,Punch,KO/TKO,Makhmud Muradov,0,3,39,0,0,4:09,Loss,Middleweight
76,Jan Blachowicz,,S-DEC,Jacare Souza,0,5,71,0,0,5:00,Win,Light Heavyweight
77,Jacare Souza,,S-DEC,Jan Blachowicz,0,5,20,0,0,5:00,Loss,Light Heavyweight
78,Mauricio Rua,,S-DEC,Paul Craig,1,3,25,0,1,5:00,Draw,Light Heavyweight
79,Paul Craig,,S-DEC,Mauricio Rua,1,3,51,1,1,5:00,Draw,Light Heavyweight
80,Charles Oliveira,Punch,KO/TKO,Jared Gordon,0,1,10,0,0,1:26,Win,Lightweight
81,Jared Gordon,Punch,KO/TKO,Charles Oliveira,0,1,7,0,0,1:26,Loss,Lightweight
82,Andre Muniz,,U-DEC,Antonio Arroyo,2,3,22,2,3,5:00,Win,Middleweight
83,Antonio Arroyo,,U-DEC,Andre Muniz,0,3,29,0,1,5:00,Loss,Middleweight
84,Wellington Turman,,U-DEC,Markus Perez,1,3,48,0,2,5:00,Win,Middleweight
85,Markus Perez,,U-DEC,Wellington Turman,0,3,49,0,0,5:00,Loss,Middleweight
86,James Krause,Punch,KO/TKO,Sergio Moraes,1,3,102,0,0,4:19,Win,Welterweight
87,Sergio Moraes,Punch,KO/TKO,James Krause,1,3,41,0,1,4:19,Loss,Welterweight
88,Ricardo Ramos,Rear Naked Choke,SUB,Eduardo Garagorri,1,1,10,1,2,3:57,Win,Featherweight
89,Eduardo Garagorri,Rear Naked Choke,SUB,Ricardo Ramos,0,1,6,0,0,3:57,Loss,Featherweight
90,Francisco Trinaldo,,U-DEC,Bobby Green,0,3,31,1,1,5:00,Win,Lightweight
91,Bobby Green,,U-DEC,Francisco Trinaldo,4,3,50,0,2,5:00,Loss,Lightweight
92,Randy Brown,Triangle Choke,SUB,Warlley Alves,1,2,16,1,1,1:22,Win,Welterweight
93,Warlley Alves,Triangle Choke,SUB,Randy Brown,3,2,3,2,3,1:22,Loss,Welterweight
94,Douglas Silva de Andrade,,U-DEC,Renan Barao,0,3,74,0,0,5:00,Win,Featherweight
95,Renan Barao,,U-DEC,Douglas Silva de Andrade,1,3,58,0,2,5:00,Loss,Featherweight
96,Ariane Lipski,,U-DEC,Isabela de Padua,2,3,31,1,0,5:00,Win,Women's Flyweight
97,Isabela de Padua,,U-DEC,Ariane Lipski,0,3,15,1,2,5:00,Loss,Women's Flyweight
98,Tracy Cortez,,U-DEC,Vanessa Melo,1,3,79,0,2,5:00,Win,Women's Bantamweight
99,Vanessa Melo,,U-DEC,Tracy Cortez,0,3,40,0,0,5:00,Loss,Women's Bantamweight
100,Zabit Magomedsharipov,,U-DEC,Calvin Kattar,0,3,96,0,1,5:00,Win,Featherweight
101,Calvin Kattar,,U-DEC,Zabit Magomedsharipov,0,3,80,0,0,5:00,Loss,Featherweight
102,Alexander Volkov,,U-DEC,Greg Hardy,0,3,86,0,0,5:00,Win,Heavyweight
103,Greg Hardy,,U-DEC,Alexander Volkov,0,3,46,0,0,5:00,Loss,Heavyweight
104,Danny Roberts,Punch,KO/TKO,Zelim Imadaev,0,2,37,0,1,4:54,Win,Welterweight
105,Zelim Imadaev,Punch,KO/TKO,Danny Roberts,1,2,28,0,1,4:54,Loss,Welterweight
106,Ed Herman,,U-DEC,Khadis Ibragimov,0,3,81,0,0,5:00,Win,Light Heavyweight
107,Khadis Ibragimov,,U-DEC,Ed Herman,1,3,53,0,2,5:00,Loss,Light Heavyweight
108,Anthony Rocco Martin,,U-DEC,Ramazan Emeev,0,3,41,2,0,5:00,Win,Welterweight
109,Ramazan Emeev,,U-DEC,Anthony Rocco Martin,0,3,30,0,0,5:00,Loss,Welterweight
110,Shamil Gamzatov,,S-DEC,Klidson Abreu,0,3,64,0,0,5:00,Win,Light Heavyweight
111,Klidson Abreu,,S-DEC,Shamil Gamzatov,0,3,32,0,1,5:00,Loss,Light Heavyweight
112,Magomed Ankalaev,Kick,KO/TKO,Dalcha Lungiambula,1,3,44,0,1,0:29,Win,Light Heavyweight
113,Dalcha Lungiambula,Kick,KO/TKO,Magomed Ankalaev,0,3,6,0,0,0:29,Loss,Light Heavyweight
114,Rustam Khabilov,,U-DEC,Sergey Khandozhko,1,3,12,0,4,5:00,Win,Welterweight
115,Sergey Khandozhko,,U-DEC,Rustam Khabilov,0,3,25,0,0,5:00,Loss,Welterweight
116,Karl Roberson,Rear Naked Choke,SUB,Roman Kopylov,1,3,43,1,1,4:01,Win,Middleweight
117,Roman Kopylov,Rear Naked Choke,SUB,Karl Roberson,0,3,37,0,0,4:01,Loss,Middleweight
118,David Zawada,Triangle Choke,SUB,Abubakar Nurmagomedov,0,1,2,2,0,2:50,Win,Welterweight
119,Abubakar Nurmagomedov,Triangle Choke,SUB,David Zawada,1,1,4,0,1,2:50,Loss,Welterweight
120,Roosevelt Roberts,,U-DEC,Alexander Yakovlev,3,3,28,0,0,5:00,Win,Lightweight
121,Alexander Yakovlev,,U-DEC,Roosevelt Roberts,1,3,20,0,3,5:00,Loss,Lightweight
122,Pannie Kianzad,,U-DEC,Jessica-Rose Clark,0,3,98,0,0,5:00,Win,Women's Bantamweight
123,Jessica-Rose Clark,,U-DEC,Pannie Kianzad,0,3,65,0,0,5:00,Loss,Women's Bantamweight
124,Davey Grant,,S-DEC,Grigorii Popov,2,3,30,0,6,5:00,Win,Bantamweight
125,Grigorii Popov,,S-DEC,Davey Grant,1,3,35,0,0,5:00,Loss,Bantamweight
126,Jorge Masvidal,,KO/TKO,Nate Diaz,0,3,112,0,1,5:00,Win,Welterweight
127,Nate Diaz,,KO/TKO,Jorge Masvidal,0,3,43,0,0,5:00,Loss,Welterweight
128,Darren Till,,S-DEC,Kelvin Gastelum,0,3,36,0,1,5:00,Win,Middleweight
129,Kelvin Gastelum,,S-DEC,Darren Till,0,3,40,0,1,5:00,Loss,Middleweight
130,Stephen Thompson,,U-DEC,Vicente Luque,0,3,138,0,0,5:00,Win,Welterweight
131,Vicente Luque,,U-DEC,Stephen Thompson,0,3,77,0,0,5:00,Loss,Welterweight
132,Derrick Lewis,,S-DEC,Blagoy Ivanov,1,3,31,0,1,5:00,Win,Heavyweight
133,Blagoy Ivanov,,S-DEC,Derrick Lewis,3,3,20,1,3,5:00,Loss,Heavyweight
134,Kevin Lee,Kick,KO/TKO,Gregor Gillespie,0,1,21,0,0,2:47,Win,Lightweight
135,Gregor Gillespie,Kick,KO/TKO,Kevin Lee,0,1,9,0,0,2:47,Loss,Lightweight
136,Corey Anderson,Punches,KO/TKO,Johnny Walker,0,1,22,0,1,2:07,Win,Light Heavyweight
137,Johnny Walker,Punches,KO/TKO,Corey Anderson,0,1,1,0,0,2:07,Loss,Light Heavyweight
138,Shane Burgos,Punch,KO/TKO,Makwan Amirkhani,1,3,105,0,0,4:32,Win,Featherweight
139,Makwan Amirkhani,Punch,KO/TKO,Shane Burgos,0,3,22,1,3,4:32,Loss,Featherweight
140,Edmen Shahbazyan,Kick,KO/TKO,Brad Tavares,0,1,14,0,0,2:27,Win,Middleweight
141,Brad Tavares,Kick,KO/TKO,Edmen Shahbazyan,0,1,3,0,0,2:27,Loss,Middleweight
142,Jairzinho Rozenstruik,Punch,KO/TKO,Andrei Arlovski,0,1,5,0,0,0:29,Win,Heavyweight
143,Andrei Arlovski,Punch,KO/TKO,Jairzinho Rozenstruik,0,1,4,0,0,0:29,Loss,Heavyweight
144,Katlyn Chookagian,,U-DEC,Jennifer Maia,0,3,73,0,0,5:00,Win,Women's Flyweight
145,Jennifer Maia,,U-DEC,Katlyn Chookagian,1,3,58,0,1,5:00,Loss,Women's Flyweight
146,Lyman Good,Punch,KO/TKO,Chance Rencountre,0,3,68,0,0,2:03,Win,Welterweight
147,Chance Rencountre,Punch,KO/TKO,Lyman Good,0,3,23,0,0,2:03,Loss,Welterweight
148,Hakeem Dawodu,,S-DEC,Julio Arce,0,3,55,0,0,5:00,Win,Featherweight
149,Julio Arce,,S-DEC,Hakeem Dawodu,2,3,32,0,1,5:00,Loss,Featherweight
150,Demian Maia,Rear Naked Choke,SUB,Ben Askren,4,3,69,1,0,3:54,Win,Welterweight
151,Ben Askren,Rear Naked Choke,SUB,Demian Maia,1,3,63,0,4,3:54,Loss,Welterweight
152,Stevie Ray,,M-DEC,Michael Johnson,1,3,85,0,1,5:00,Win,Lightweight
153,Michael Johnson,,M-DEC,Stevie Ray,0,3,78,0,0,5:00,Loss,Lightweight
154,Beneil Dariush,Rear Naked Choke,SUB,Frank Camacho,1,1,13,1,2,2:02,Win,Lightweight
155,Frank Camacho,Rear Naked Choke,SUB,Beneil Dariush,0,1,3,0,0,2:02,Loss,Lightweight
156,Ciryl Gane,Heel Hook,SUB,Don'Tale Mayes,1,3,94,1,3,4:46,Win,Heavyweight
157,Don'Tale Mayes,Heel Hook,SUB,Ciryl Gane,0,3,32,0,0,4:46,Loss,Heavyweight
158,Muslim Salikhov,,U-DEC,Laureano Staropoli,0,3,63,0,3,5:00,Win,Welterweight
159,Laureano Staropoli,,U-DEC,Muslim Salikhov,0,3,42,0,0,5:00,Loss,Welterweight
160,Randa Markos,,S-DEC,Ashley Yoder,1,3,78,0,0,5:00,Win,Women's Strawweight
161,Ashley Yoder,,S-DEC,Randa Markos,3,3,44,0,2,5:00,Loss,Women's Strawweight
162,Rafael Fiziev,,U-DEC,Alex White,0,3,66,0,1,5:00,Win,Lightweight
163,Alex White,,U-DEC,Rafael Fiziev,0,3,55,0,0,5:00,Loss,Lightweight
164,Movsar Evloev,,U-DEC,Enrique Barzola,0,3,71,0,4,5:00,Win,Featherweight
165,Enrique Barzola,,U-DEC,Movsar Evloev,1,3,78,0,1,5:00,Loss,Featherweight
166,Sergei Pavlovich,Punches,KO/TKO,Maurice Greene,0,1,20,0,0,2:11,Win,Heavyweight
167,Maurice Greene,Punches,KO/TKO,Sergei Pavlovich,0,1,8,0,0,2:11,Loss,Heavyweight
168,Loma Lookboonmee,,S-DEC,Alexandra Albu,0,3,99,0,1,5:00,Win,Women's Strawweight
169,Alexandra Albu,,S-DEC,Loma Lookboonmee,0,3,65,0,1,5:00,Loss,Women's Strawweight
170,Raphael Pessoa,,U-DEC,Jeff Hughes,0,3,39,0,0,5:00,Win,Heavyweight
171,Jeff Hughes,,U-DEC,Raphael Pessoa,0,3,34,0,0,5:00,Loss,Heavyweight
172,Dominick Reyes,Punches,KO/TKO,Chris Weidman,0,1,8,0,0,1:43,Win,Light Heavyweight
173,Chris Weidman,Punches,KO/TKO,Dominick Reyes,0,1,3,0,1,1:43,Loss,Light Heavyweight
174,Yair Rodriguez,,U-DEC,Jeremy Stephens,0,3,96,0,0,5:00,Win,Featherweight
175,Jeremy Stephens,,U-DEC,Yair Rodriguez,1,3,50,0,3,5:00,Loss,Featherweight
176,Greg Hardy,,Overturned,Ben Sosoli,0,3,54,0,0,5:00,Draw,Heavyweight
177,Ben Sosoli,,Overturned,Greg Hardy,0,3,26,0,0,5:00,Draw,Heavyweight
178,Joe Lauzon,Punches,KO/TKO,Jonathan Pearce,2,1,25,0,1,1:33,Win,Lightweight
179,Jonathan Pearce,Punches,KO/TKO,Joe Lauzon,0,1,8,0,0,1:33,Loss,Lightweight
180,Maycee Barber,Punches,KO/TKO,Gillian Robertson,0,1,34,0,0,3:04,Win,Women's Flyweight
181,Gillian Robertson,Punches,KO/TKO,Maycee Barber,0,1,12,0,0,3:04,Loss,Women's Flyweight
182,Darren Stewart,,S-DEC,Deron Winn,0,3,57,0,1,5:00,Win,Middleweight
183,Deron Winn,,S-DEC,Darren Stewart,1,3,29,0,6,5:00,Loss,Middleweight
184,Charles Rosa,Armbar,SUB,Manny Bermudez,0,1,6,1,0,2:46,Win,Featherweight
185,Manny Bermudez,Armbar,SUB,Charles Rosa,1,1,27,0,1,2:46,Loss,Featherweight
186,Molly McCann,,U-DEC,Diana Belbita,5,3,113,1,5,5:00,Win,Women's Flyweight
187,Diana Belbita,,U-DEC,Molly McCann,0,3,98,0,1,5:00,Loss,Women's Flyweight
188,Sean Woodson,,U-DEC,Kyle Bochniak,0,3,111,0,0,5:00,Win,Featherweight
189,Kyle Bochniak,,U-DEC,Sean Woodson,0,3,42,0,1,5:00,Loss,Featherweight
190,Randy Costa,Punch,KO/TKO,Boston Salmon,0,1,22,0,0,2:15,Win,Bantamweight
191,Boston Salmon,Punch,KO/TKO,Randy Costa,0,1,12,0,0,2:15,Loss,Bantamweight
192,Sean Brady,,U-DEC,Court McGee,0,3,119,0,2,5:00,Win,Welterweight
193,Court McGee,,U-DEC,Sean Brady,0,3,107,0,0,5:00,Loss,Welterweight
194,Brendan Allen,Rear Naked Choke,SUB,Kevin Holland,5,2,10,4,2,3:38,Win,Middleweight
195,Kevin Holland,Rear Naked Choke,SUB,Brendan Allen,2,2,22,1,1,3:38,Loss,Middleweight
196,Tanner Boser,,U-DEC,Daniel Spitz,0,3,93,0,0,5:00,Win,Heavyweight
197,Daniel Spitz,,U-DEC,Tanner Boser,0,3,32,0,0,5:00,Loss,Heavyweight
198,Joanna Jedrzejczyk,,U-DEC,Michelle Waterson,0,5,180,1,3,5:00,Win,Women's Strawweight
199,Michelle Waterson,,U-DEC,Joanna Jedrzejczyk,1,5,58,1,1,5:00,Loss,Women's Strawweight
200,Cub Swanson,,U-DEC,Kron Gracie,0,3,135,0,0,5:00,Win,Featherweight
201,Kron Gracie,,U-DEC,Cub Swanson,0,3,86,0,0,5:00,Loss,Featherweight
202,Niko Price,Kick,KO/TKO,James Vick,1,1,11,0,0,1:44,Win,Welterweight
203,James Vick,Kick,KO/TKO,Niko Price,0,1,9,0,0,1:44,Loss,Welterweight
204,Amanda Ribas,,U-DEC,Mackenzie Dern,0,3,74,0,2,5:00,Win,Women's Strawweight
205,Mackenzie Dern,,U-DEC,Amanda Ribas,0,3,20,0,0,5:00,Loss,Women's Strawweight
206,Matt Frevola,,S-DEC,Luis Pena,1,3,48,0,4,5:00,Win,Lightweight
