,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
415,Geraldo de Freitas,,S-DEC,Chris Gutierrez,4,3,40,0,2,5:00,Loss,Bantamweight
416,Alex Da Silva,,U-DEC,Kazula Vargas,4,3,17,0,3,5:00,Win,Lightweight
417,Kazula Vargas,,U-DEC,Alex Da Silva,0,3,20,0,0,5:00,Loss,Lightweight
418,Veronica Macedo,Armbar,SUB,Polyana Viana,0,1,1,1,0,1:09,Win,Women's Flyweight
419,Polyana Viana,Armbar,SUB,Veronica Macedo,1,1,1,0,1,1:09,Loss,Women's Flyweight
420,Colby Covington,,U-DEC,Robbie Lawler,0,5,179,0,10,5:00,Win,Welterweight
421,Robbie Lawler,,U-DEC,Colby Covington,0,5,78,0,0,5:00,Loss,Welterweight
422,Jim Miller,Guillotine Choke,SUB,Clay Guida,0,1,2,1,0,0:58,Win,Lightweight
423,Clay Guida,Guillotine Choke,SUB,Jim Miller,0,1,2,0,0,0:58,Loss,Lightweight
424,Nasrat Haqparast,Punch,KO/TKO,Joaquim Silva,0,2,21,0,0,0:36,Win,Lightweight
425,Joaquim Silva,Punch,KO/TKO,Nasrat Haqparast,0,2,15,0,0,0:36,Loss,Lightweight
426,Gerald Meerschaert,Guillotine Choke,SUB,Trevin Giles,2,3,6,1,1,1:49,Win,Middleweight
427,Trevin Giles,Guillotine Choke,SUB,Gerald Meerschaert,5,3,8,0,1,1:49,Loss,Middleweight
428,Scott Holtzman,,KO/TKO,Dong Hyun Ma,3,2,44,0,1,5:00,Win,Lightweight
429,Dong Hyun Ma,,KO/TKO,Scott Holtzman,0,2,16,0,1,5:00,Loss,Lightweight
430,Kennedy Nzechukwu,,U-DEC,Darko Stosic,0,3,50,0,0,5:00,Win,Light Heavyweight
431,Darko Stosic,,U-DEC,Kennedy Nzechukwu,0,3,60,0,4,5:00,Loss,Light Heavyweight
432,Mickey Gall,,U-DEC,Salim Touahri,1,3,50,0,1,5:00,Win,Welterweight
433,Salim Touahri,,U-DEC,Mickey Gall,2,3,48,0,0,5:00,Loss,Welterweight
434,Antonina Shevchenko,Rear Naked Choke,SUB,Lucie Pudilova,1,2,16,3,0,1:20,Win,Women's Flyweight
435,Lucie Pudilova,Rear Naked Choke,SUB,Antonina Shevchenko,1,2,6,0,1,1:20,Loss,Women's Flyweight
436,Matt Schnell,Triangle Choke,SUB,Jordan Espinosa,0,1,3,1,0,1:23,Win,Flyweight
437,Jordan Espinosa,Triangle Choke,SUB,Matt Schnell,0,1,5,0,0,1:23,Loss,Flyweight
438,Lauren Murphy,Knee,KO/TKO,Mara Romero Borella,1,3,24,0,0,1:46,Win,Women's Flyweight
439,Mara Romero Borella,Knee,KO/TKO,Lauren Murphy,1,3,22,0,1,1:46,Loss,Women's Flyweight
440,Claudio Silva,Neck Crank,SUB,Cole Williams,1,1,32,1,1,2:35,Win,Welterweight
441,Cole Williams,Neck Crank,SUB,Claudio Silva,0,1,2,0,0,2:35,Loss,Welterweight
442,Miranda Granger,,U-DEC,Hannah Goldy,0,3,61,0,0,5:00,Win,Women's Flyweight
443,Hannah Goldy,,U-DEC,Miranda Granger,0,3,55,0,0,5:00,Loss,Women's Flyweight
444,Max Holloway,,U-DEC,Frankie Edgar,0,5,129,0,0,5:00,Win,Featherweight
445,Frankie Edgar,,U-DEC,Max Holloway,0,5,96,0,1,5:00,Loss,Featherweight
446,Cris Cyborg,,U-DEC,Felicia Spencer,1,3,122,0,0,5:00,Win,Women's Featherweight
447,Felicia Spencer,,U-DEC,Cris Cyborg,0,3,38,0,0,5:00,Loss,Women's Featherweight
448,Geoff Neal,Punches,KO/TKO,Niko Price,2,2,41,0,2,2:39,Win,Welterweight
449,Niko Price,Punches,KO/TKO,Geoff Neal,1,2,24,0,0,2:39,Loss,Welterweight
450,Arman Tsarukyan,,U-DEC,Olivier Aubin-Mercier,0,3,47,0,2,5:00,Win,Lightweight
451,Olivier Aubin-Mercier,,U-DEC,Arman Tsarukyan,0,3,23,0,0,5:00,Loss,Lightweight
452,Krzysztof Jotko,,S-DEC,Marc-Andre Barriault,0,3,40,0,1,5:00,Win,Middleweight
453,Marc-Andre Barriault,,S-DEC,Krzysztof Jotko,0,3,39,0,1,5:00,Loss,Middleweight
454,Viviane Araujo,,U-DEC,Alexis Davis,0,3,67,0,2,5:00,Win,Women's Flyweight
455,Alexis Davis,,U-DEC,Viviane Araujo,0,3,68,0,0,5:00,Loss,Women's Flyweight
456,Hakeem Dawodu,Kick,KO/TKO,Yoshinori Horie,0,3,80,0,0,4:09,Win,Featherweight
457,Yoshinori Horie,Kick,KO/TKO,Hakeem Dawodu,0,3,39,0,0,4:09,Loss,Featherweight
458,Gavin Tucker,Rear Naked Choke,SUB,SeungWoo Choi,3,3,37,2,5,3:17,Win,Featherweight
459,SeungWoo Choi,Rear Naked Choke,SUB,Gavin Tucker,2,3,23,0,2,3:17,Loss,Featherweight
460,Deiveson Figueiredo,,U-DEC,Alexandre Pantoja,2,3,67,0,2,5:00,Win,Flyweight
461,Alexandre Pantoja,,U-DEC,Deiveson Figueiredo,0,3,61,0,2,5:00,Loss,Flyweight
462,Gillian Robertson,Elbows,KO/TKO,Sarah Frota,4,2,29,0,2,4:13,Win,Women's Flyweight
463,Sarah Frota,Elbows,KO/TKO,Gillian Robertson,0,2,9,0,0,4:13,Loss,Women's Flyweight
464,Erik Koch,,U-DEC,Kyle Stewart,4,3,37,0,4,5:00,Win,Welterweight
465,Kyle Stewart,,U-DEC,Erik Koch,0,3,23,0,0,5:00,Loss,Welterweight
466,Leon Edwards,,U-DEC,Rafael Dos Anjos,2,5,92,0,3,5:00,Win,Welterweight
467,Rafael Dos Anjos,,U-DEC,Leon Edwards,0,5,81,0,0,5:00,Loss,Welterweight
468,Walt Harris,Punch,KO/TKO,Aleksei Oleinik,0,1,4,0,0,0:12,Win,Heavyweight
469,Aleksei Oleinik,Punch,KO/TKO,Walt Harris,0,1,1,0,0,0:12,Loss,Heavyweight
470,Greg Hardy,Punches,KO/TKO,Juan Adams,0,1,36,0,0,0:45,Win,Heavyweight
471,Juan Adams,Punches,KO/TKO,Greg Hardy,0,1,3,0,0,0:45,Loss,Heavyweight
472,Dan Hooker,Punch,KO/TKO,James Vick,0,1,22,0,0,2:33,Win,Lightweight
473,James Vick,Punch,KO/TKO,Dan Hooker,0,1,7,0,0,2:33,Loss,Lightweight
474,Alexander Hernandez,,U-DEC,Francisco Trinaldo,0,3,25,0,0,5:00,Win,Lightweight
475,Francisco Trinaldo,,U-DEC,Alexander Hernandez,0,3,25,0,0,5:00,Loss,Lightweight
476,Andrei Arlovski,,U-DEC,Ben Rothwell,0,3,152,0,0,5:00,Win,Heavyweight
477,Ben Rothwell,,U-DEC,Andrei Arlovski,0,3,70,0,0,5:00,Loss,Heavyweight
478,Alex Caceres,,U-DEC,Steven Peterson,0,3,94,0,0,5:00,Win,Featherweight
479,Steven Peterson,,U-DEC,Alex Caceres,2,3,67,0,2,5:00,Loss,Featherweight
480,Raquel Pennington,,S-DEC,Irene Aldana,1,3,47,0,1,5:00,Win,Women's Bantamweight
481,Irene Aldana,,S-DEC,Raquel Pennington,0,3,52,0,0,5:00,Loss,Women's Bantamweight
482,Klidson Abreu,,U-DEC,Sam Alvey,1,3,36,0,1,5:00,Win,Light Heavyweight
483,Sam Alvey,,U-DEC,Klidson Abreu,0,3,28,0,0,5:00,Loss,Light Heavyweight
484,Jennifer Maia,,U-DEC,Roxanne Modafferi,0,3,83,0,0,5:00,Win,Women's Flyweight
485,Roxanne Modafferi,,U-DEC,Jennifer Maia,0,3,29,0,0,5:00,Loss,Women's Flyweight
486,Ray Borg,,U-DEC,Gabriel Silva,7,3,15,1,6,5:00,Win,Bantamweight
487,Gabriel Silva,,U-DEC,Ray Borg,1,3,8,0,1,5:00,Loss,Bantamweight
488,Mario Bautista,,U-DEC,Jinsoo Son,0,3,129,0,0,5:00,Win,Bantamweight
489,Jinsoo Son,,U-DEC,Mario Bautista,1,3,95,0,2,5:00,Loss,Bantamweight
490,Felipe Colares,,S-DEC,Domingo Pilarte,1,3,23,0,2,5:00,Win,Bantamweight
491,Domingo Pilarte,,S-DEC,Felipe Colares,1,3,11,1,2,5:00,Loss,Bantamweight
492,Germaine de Randamie,Punch,KO/TKO,Aspen Ladd,0,1,4,0,0,0:16,Win,Women's Bantamweight
493,Aspen Ladd,Punch,KO/TKO,Germaine de Randamie,0,1,0,0,0,0:16,Loss,Women's Bantamweight
494,Urijah Faber,Punch,KO/TKO,Ricky Simon,0,1,11,0,0,0:46,Win,Bantamweight
495,Ricky Simon,Punch,KO/TKO,Urijah Faber,0,1,4,0,0,0:46,Loss,Bantamweight
496,Josh Emmett,Punches,KO/TKO,Mirsad Bektic,1,1,27,0,0,4:25,Win,Featherweight
497,Mirsad Bektic,Punches,KO/TKO,Josh Emmett,0,1,10,0,0,4:25,Loss,Featherweight
498,Karl Roberson,,S-DEC,Wellington Turman,1,3,50,0,0,5:00,Win,Middleweight
499,Wellington Turman,,S-DEC,Karl Roberson,7,3,25,2,4,5:00,Loss,Middleweight
500,Marvin Vettori,,U-DEC,Cezar Ferreira,2,3,78,0,2,5:00,Win,Middleweight
501,Cezar Ferreira,,U-DEC,Marvin Vettori,0,3,39,0,0,5:00,Loss,Middleweight
502,Mike Rodriguez,,Overturned,John Allan,0,3,70,0,0,5:00,Draw,Light Heavyweight
503,John Allan,,Overturned,Mike Rodriguez,3,3,55,3,4,5:00,Draw,Light Heavyweight
504,Andre Fili,Punch,KO/TKO,Sheymon Moraes,0,1,19,0,0,3:07,Win,Featherweight
505,Sheymon Moraes,Punch,KO/TKO,Andre Fili,0,1,11,0,0,3:07,Loss,Featherweight
506,Julianna Pena,,U-DEC,Nicco Montano,2,3,45,0,2,5:00,Win,Women's Bantamweight
507,Nicco Montano,,U-DEC,Julianna Pena,5,3,38,0,3,5:00,Loss,Women's Bantamweight
508,Ryan Hall,,U-DEC,Darren Elkins,0,3,36,1,0,5:00,Win,Featherweight
509,Darren Elkins,,U-DEC,Ryan Hall,0,3,29,0,0,5:00,Loss,Featherweight
510,Jonathan Martinez,Knee,KO/TKO,Liu Pingyuan,0,3,32,0,0,3:54,Win,Bantamweight
511,Liu Pingyuan,Knee,KO/TKO,Jonathan Martinez,0,3,27,0,0,3:54,Loss,Bantamweight
512,Brianna Van Buren,,U-DEC,Livinha Souza,0,3,72,0,3,5:00,Win,Women's Strawweight
513,Livinha Souza,,U-DEC,Brianna Van Buren,0,3,23,0,2,5:00,Loss,Women's Strawweight
514,Benito Lopez,,U-DEC,Vince Morales,0,3,54,0,0,5:00,Win,Bantamweight
515,Vince Morales,,U-DEC,Benito Lopez,0,3,64,0,0,5:00,Loss,Bantamweight
516,Jon Jones,,S-DEC,Thiago Santos,0,5,59,0,0,5:00,Win,Light Heavyweight
517,Thiago Santos,,S-DEC,Jon Jones,0,5,43,0,0,5:00,Loss,Light Heavyweight
518,Amanda Nunes,Kick,KO/TKO,Holly Holm,0,1,17,0,0,4:10,Win,Women's Bantamweight
519,Holly Holm,Kick,KO/TKO,Amanda Nunes,0,1,11,0,0,4:10,Loss,Women's Bantamweight
520,Jorge Masvidal,Flying Knee,KO/TKO,Ben Askren,0,1,3,0,0,0:05,Win,Welterweight
521,Ben Askren,Flying Knee,KO/TKO,Jorge Masvidal,0,1,0,0,0,0:05,Loss,Welterweight
522,Jan Blachowicz,Punch,KO/TKO,Luke Rockhold,0,2,30,0,0,1:39,Win,Light Heavyweight
523,Luke Rockhold,Punch,KO/TKO,Jan Blachowicz,0,2,14,0,0,1:39,Loss,Light Heavyweight
524,Michael Chiesa,,U-DEC,Diego Sanchez,8,3,47,0,5,5:00,Win,Welterweight
525,Diego Sanchez,,U-DEC,Michael Chiesa,1,3,7,0,1,5:00,Loss,Welterweight
526,Arnold Allen,,U-DEC,Gilbert Melendez,0,3,102,0,1,5:00,Win,Featherweight
527,Gilbert Melendez,,U-DEC,Arnold Allen,0,3,23,0,0,5:00,Loss,Featherweight
528,Marlon Vera,Rear Naked Choke,SUB,Nohelin Hernandez,2,2,10,1,1,3:25,Win,Bantamweight
529,Nohelin Hernandez,Rear Naked Choke,SUB,Marlon Vera,1,2,22,0,1,3:25,Loss,Bantamweight
530,Claudia Gadelha,,U-DEC,Randa Markos,0,3,40,0,0,5:00,Win,Women's Strawweight
531,Randa Markos,,U-DEC,Claudia Gadelha,0,3,25,0,0,5:00,Loss,Women's Strawweight
532,Song Yadong,Punch,KO/TKO,Alejandro Perez,0,1,8,0,0,2:04,Win,Bantamweight
533,Alejandro Perez,Punch,KO/TKO,Song Yadong,0,1,1,0,0,2:04,Loss,Bantamweight
534,Edmen Shahbazyan,Rear Naked Choke,SUB,Jack Marshman,2,1,13,1,1,1:12,Win,Middleweight
535,Jack Marshman,Rear Naked Choke,SUB,Edmen Shahbazyan,0,1,0,0,0,1:12,Loss,Middleweight
536,Chance Rencountre,,U-DEC,Ismail Naurdiev,4,3,4,0,2,5:00,Win,Welterweight
537,Ismail Naurdiev,,U-DEC,Chance Rencountre,1,3,21,0,2,5:00,Loss,Welterweight
538,Julia Avila,,U-DEC,Pannie Kianzad,2,3,49,0,0,5:00,Win,Women's Bantamweight
539,Pannie Kianzad,,U-DEC,Julia Avila,0,3,33,0,1,5:00,Loss,Women's Bantamweight
540,Francis Ngannou,Punch,KO/TKO,Junior Dos Santos,0,1,9,0,0,1:11,Win,Heavyweight
541,Junior Dos Santos,Punch,KO/TKO,Francis Ngannou,0,1,4,0,0,1:11,Loss,Heavyweight
542,Joseph Benavidez,Punches,KO/TKO,Jussier Formiga,1,2,50,0,0,4:47,Win,Flyweight
543,Jussier Formiga,Punches,KO/TKO,Joseph Benavidez,1,2,15,0,1,4:47,Loss,Flyweight
544,Demian Maia,,M-DEC,Anthony Rocco Martin,4,3,3,0,3,5:00,Win,Welterweight
545,Anthony Rocco Martin,,M-DEC,Demian Maia,2,3,22,0,0,5:00,Loss,Welterweight
546,Vinc Pichel,,U-DEC,Roosevelt Roberts,6,3,60,1,3,5:00,Win,Lightweight
547,Roosevelt Roberts,,U-DEC,Vinc Pichel,2,3,31,0,2,5:00,Loss,Lightweight
548,Drew Dober,Punches,KO/TKO,Polo Reyes,0,1,16,0,0,1:07,Win,Lightweight
549,Polo Reyes,Punches,KO/TKO,Drew Dober,0,1,5,0,0,1:07,Loss,Lightweight
550,Alonzo Menifield,Punch,KO/TKO,Paul Craig,0,1,8,0,0,3:19,Win,Light Heavyweight
551,Paul Craig,Punch,KO/TKO,Alonzo Menifield,0,1,7,0,0,3:19,Loss,Light Heavyweight
552,Ricardo Ramos,,U-DEC,Journey Newson,3,3,40,0,3,5:00,Win,Bantamweight
553,Journey Newson,,U-DEC,Ricardo Ramos,0,3,38,1,0,5:00,Loss,Bantamweight
554,Eryk Anders,Punch,KO/TKO,Vinicius Moreira,0,1,11,0,0,1:18,Win,Light Heavyweight
555,Vinicius Moreira,Punch,KO/TKO,Eryk Anders,0,1,2,0,0,1:18,Loss,Light Heavyweight
556,Jared Gordon,,U-DEC,Dan Moret,5,3,48,0,2,5:00,Win,Lightweight
557,Dan Moret,,U-DEC,Jared Gordon,4,3,34,1,2,5:00,Loss,Lightweight
558,Dalcha Lungiambula,Punch,KO/TKO,Dequan Townsend,4,3,32,0,4,0:42,Win,Light Heavyweight
559,Dequan Townsend,Punch,KO/TKO,Dalcha Lungiambula,0,3,13,0,0,0:42,Loss,Light Heavyweight
560,Amanda Ribas,Rear Naked Choke,SUB,Emily Whitmire,3,2,21,2,2,2:10,Win,Women's Strawweight
561,Emily Whitmire,Rear Naked Choke,SUB,Amanda Ribas,0,2,7,0,0,2:10,Loss,Women's Strawweight
562,Maurice Greene,Punch,KO/TKO,Junior Albini,2,1,37,0,0,3:38,Win,Heavyweight
563,Junior Albini,Punch,KO/TKO,Maurice Greene,0,1,19,0,0,3:38,Loss,Heavyweight
564,Chan Sung Jung,Punch,KO/TKO,Renato Moicano,2,1,16,0,0,0:58,Win,Featherweight
565,Renato Moicano,Punch,KO/TKO,Chan Sung Jung,0,1,0,0,0,0:58,Loss,Featherweight
566,Randy Brown,Kick,KO/TKO,Bryan Barberena,0,3,89,0,0,2:54,Win,Welterweight
567,Bryan Barberena,Kick,KO/TKO,Randy Brown,1,3,47,0,0,2:54,Loss,Welterweight
568,Andre Ewell,,U-DEC,Anderson Dos Santos,0,3,73,0,0,5:00,Win,Bantamweight
569,Anderson Dos Santos,,U-DEC,Andre Ewell,4,3,35,0,2,5:00,Loss,Bantamweight
570,Andrea Lee,,U-DEC,Montana De La Rosa,2,3,73,0,1,5:00,Win,Women's Flyweight
571,Montana De La Rosa,,U-DEC,Andrea Lee,0,3,14,1,5,5:00,Loss,Women's Flyweight
572,Kevin Holland,,U-DEC,Alessio Di Chirico,0,3,58,0,0,5:00,Win,Middleweight
573,Alessio Di Chirico,,U-DEC,Kevin Holland,0,3,51,0,2,5:00,Loss,Middleweight
574,Dan Ige,,U-DEC,Kevin Aguilar,3,3,71,0,1,5:00,Win,Featherweight
575,Kevin Aguilar,,U-DEC,Dan Ige,0,3,33,0,1,5:00,Loss,Featherweight
576,Ashley Yoder,,U-DEC,Syuri Kondo,8,3,75,0,1,5:00,Win,Women's Strawweight
577,Syuri Kondo,,U-DEC,Ashley Yoder,0,3,23,1,0,5:00,Loss,Women's Strawweight
578,Luis Pena,Punches,KO/TKO,Matt Wiman,7,3,87,1,1,1:14,Win,Lightweight
579,Matt Wiman,Punches,KO/TKO,Luis Pena,0,3,24,0,1,1:14,Loss,Lightweight
580,Jairzinho Rozenstruik,Punches,KO/TKO,Allen Crowder,0,1,4,0,0,0:09,Win,Heavyweight
581,Allen Crowder,Punches,KO/TKO,Jairzinho Rozenstruik,0,1,0,0,0,0:09,Loss,Heavyweight
582,Molly McCann,,U-DEC,Ariane Lipski,2,3,108,0,2,5:00,Win,Women's Flyweight
583,Ariane Lipski,,U-DEC,Molly McCann,0,3,68,0,0,5:00,Loss,Women's Flyweight
584,Deron Winn,,U-DEC,Eric Spicely,0,3,169,0,0,5:00,Win,Middleweight
585,Eric Spicely,,U-DEC,Deron Winn,0,3,108,0,0,5:00,Loss,Middleweight
586,Henry Cejudo,Punches,KO/TKO,Marlon Moraes,1,3,90,1,1,4:51,Win,Bantamweight
587,Marlon Moraes,Punches,KO/TKO,Henry Cejudo,0,3,57,0,0,4:51,Loss,Bantamweight
588,Valentina Shevchenko,Kick,KO/TKO,Jessica Eye,3,2,8,1,2,0:26,Win,Women's Flyweight
589,Jessica Eye,Kick,KO/TKO,Valentina Shevchenko,0,2,2,0,0,0:26,Loss,Women's Flyweight
590,Tony Ferguson,,KO/TKO,Donald Cerrone,0,2,104,0,0,5:00,Win,Lightweight
591,Donald Cerrone,,KO/TKO,Tony Ferguson,0,2,68,0,1,5:00,Loss,Lightweight
592,Petr Yan,,U-DEC,Jimmie Rivera,1,3,56,0,1,5:00,Win,Bantamweight
593,Jimmie Rivera,,U-DEC,Petr Yan,0,3,73,0,0,5:00,Loss,Bantamweight
594,Blagoy Ivanov,,U-DEC,Tai Tuivasa,0,3,73,0,2,5:00,Win,Heavyweight
595,Tai Tuivasa,,U-DEC,Blagoy Ivanov,0,3,64,0,0,5:00,Loss,Heavyweight
596,Tatiana Suarez,,U-DEC,Nina Ansaroff,2,3,75,0,4,5:00,Win,Women's Strawweight
597,Nina Ansaroff,,U-DEC,Tatiana Suarez,0,3,48,0,0,5:00,Loss,Women's Strawweight
598,Aljamain Sterling,,U-DEC,Pedro Munhoz,0,3,174,0,0,5:00,Win,Bantamweight
599,Pedro Munhoz,,U-DEC,Aljamain Sterling,0,3,105,0,0,5:00,Loss,Bantamweight
600,Alexa Grasso,,U-DEC,Karolina Kowalkiewicz,0,3,148,1,0,5:00,Win,Women's Strawweight
601,Karolina Kowalkiewicz,,U-DEC,Alexa Grasso,0,3,90,0,0,5:00,Loss,Women's Strawweight
602,Calvin Kattar,Punch,KO/TKO,Ricardo Lamas,0,1,22,0,0,4:06,Win,Featherweight
603,Ricardo Lamas,Punch,KO/TKO,Calvin Kattar,0,1,12,0,0,4:06,Loss,Featherweight
604,Xiaonan Yan,,U-DEC,Angela Hill,1,3,94,0,1,5:00,Win,Women's Strawweight
605,Angela Hill,,U-DEC,Xiaonan Yan,0,3,71,1,1,5:00,Loss,Women's Strawweight
606,Darren Stewart,,U-DEC,Bevon Lewis,0,3,30,0,0,5:00,Win,Middleweight
607,Bevon Lewis,,U-DEC,Darren Stewart,0,3,31,0,0,5:00,Loss,Middleweight
608,Eddie Wineland,Punch,KO/TKO,Grigorii Popov,0,2,74,0,0,4:47,Win,Bantamweight
609,Grigorii Popov,Punch,KO/TKO,Eddie Wineland,0,2,55,0,0,4:47,Loss,Bantamweight
610,Katlyn Chookagian,,U-DEC,Joanne Calderwood,0,3,82,0,0,5:00,Win,Women's Flyweight
611,Joanne Calderwood,,U-DEC,Katlyn Chookagian,0,3,112,0,3,5:00,Loss,Women's Flyweight
612,Anthony Smith,Rear Naked Choke,SUB,Alexander Gustafsson,1,4,49,1,0,2:38,Win,Light Heavyweight
613,Alexander Gustafsson,Rear Naked Choke,SUB,Anthony Smith,1,4,72,0,1,2:38,Loss,Light Heavyweight
614,Aleksandar Rakic,Kick,KO/TKO,Jimi Manuwa,0,1,2,0,0,0:47,Win,Light Heavyweight
615,Jimi Manuwa,Kick,KO/TKO,Aleksandar Rakic,0,1,2,0,0,0:47,Loss,Light Heavyweight
616,Makwan Amirkhani,Anaconda Choke,SUB,Chris Fishgold,2,2,9,1,1,4:25,Win,Featherweight
617,Chris Fishgold,Anaconda Choke,SUB,Makwan Amirkhani,0,2,16,0,0,4:25,Loss,Featherweight
618,Christos Giagos,,U-DEC,Damir Hadzovic,3,3,47,0,6,5:00,Win,Lightweight
619,Damir Hadzovic,,U-DEC,Christos Giagos,0,3,24,0,1,5:00,Loss,Lightweight
