,Strikes,Submission_Attempts,TakeDowns
0,55,0,0
1,138,1,1
2,106,0,0
3,9,0,0
4,128,0,5
5,45,0,3
6,97,0,0
7,128,0,0
8,47,0,1
9,54,0,1
10,97,0,2
11,12,1,1
12,115,0,4
13,318,0,0
14,291,0,0
15,119,3,8
16,117,0,1
17,72,0,2
18,20,0,0
19,46,0,0
20,108,0,5
21,42,4,2
22,22,3,1
23,173,0,0
24,154,0,2
25,34,0,1
26,163,0,2
27,134,0,3
28,111,0,0
29,94,0,2
30,71,0,5
31,149,0,7
32,36,1,0
33,77,5,1
34,8,1,1
35,66,0,4
36,16,3,3
37,130,1,1
38,91,0,0
39,76,1,2
40,17,0,0
41,51,2,4
42,97,0,2
43,143,0,1
44,16,1,2
45,81,1,3
46,19,3,4
47,132,0,2
48,46,2,2
49,119,0,2
50,176,0,1
51,132,0,0
52,65,0,2
53,134,0,2
54,71,2,0
55,96,0,1
56,50,0,1
57,37,0,4
58,80,1,1
59,6,2,1
60,48,0,3
61,163,0,0
62,65,0,6
63,155,0,1
64,76,0,2
65,215,0,0
66,51,1,4
67,30,0,0
68,23,0,1
69,127,1,3
70,17,0,0
71,9,0,0
72,131,0,1
73,91,0,0
74,87,0,1
75,132,1,4
76,163,0,1
77,16,1,2
78,126,1,3
79,105,0,3
80,122,0,2
81,121,0,1
82,149,0,5
83,28,0,0
84,164,0,2
85,73,0,0
86,11,0,1
87,146,0,3
88,80,0,0
89,33,0,1
90,46,0,0
91,86,0,7
92,33,1,1
93,211,1,6
94,153,0,1
95,34,0,0
96,226,0,2
97,32,5,3
98,125,0,0
99,238,2,4
100,221,0,0
101,20,0,0
102,94,0,2
103,99,2,5
104,136,0,0
105,34,1,2
106,227,0,2
107,156,0,4
108,34,1,1
109,130,2,0
110,43,0,1
111,124,0,0
112,128,0,2
113,72,0,0
114,135,0,0
115,44,1,6
116,56,0,2
117,10,0,0
118,74,0,0
119,108,1,3
120,127,1,4
121,12,1,1
122,125,0,1
123,58,1,2
124,48,0,1
125,22,0,1
126,50,1,1
127,20,0,4
128,51,1,1
129,49,0,4
130,7,0,0
131,90,0,0
132,81,0,3
133,93,0,4
134,47,0,2
135,65,0,4
136,52,1,4
137,2,0,0
138,89,1,4
139,64,0,5
140,193,0,0
141,135,0,2
142,92,0,2
143,18,0,0
144,164,0,0
145,136,0,0
146,19,1,1
147,136,0,1
148,24,2,4
149,57,0,0
150,90,3,3
151,46,0,1
152,96,1,2
153,56,0,3
154,27,1,1
155,21,0,0
156,42,0,2
157,62,0,3
158,58,5,2
159,89,0,0
160,95,0,3
161,34,3,7
162,116,0,1
163,50,0,0
164,28,0,5
165,160,0,0
166,162,0,5
167,50,2,6
168,63,1,2
169,35,0,0
170,78,1,3
171,16,0,0
172,43,0,2
173,31,0,3
174,33,0,0
175,113,0,2
176,151,0,2
177,91,1,3
178,216,0,0
179,140,1,6
180,116,0,1
181,169,1,1
182,107,0,0
183,121,0,3
184,336,0,0
185,304,0,2
186,183,1,1
187,243,0,1
188,58,0,0
189,139,0,2
190,36,0,0
191,107,0,4
192,186,1,4
193,80,1,5
194,113,1,4
195,127,0,4
196,141,0,4
197,60,0,1
198,171,1,0
199,97,0,5
200,82,0,1
201,40,1,3
202,173,0,3
203,89,0,3
204,22,1,0
205,125,1,1
206,11,0,2
207,88,0,3
208,37,0,3
209,2,1,1
210,257,0,10
211,4,1,0
212,36,0,0
213,14,1,2
214,60,0,2
215,110,0,4
216,98,0,1
217,22,3,1
218,8,1,0
219,46,0,1
220,34,1,1
221,116,0,0
222,225,0,1
223,160,0,0
224,65,0,2
225,70,0,2
226,79,0,2
227,135,0,2
228,119,0,0
229,60,2,7
230,128,0,4
231,38,0,2
232,60,0,4
233,173,0,3
234,5,0,0
235,39,0,0
236,29,0,0
237,50,0,0
238,222,0,0
239,161,0,2
240,99,0,1
241,64,0,1
242,112,0,0
243,23,1,7
244,224,0,2
245,34,1,4
246,4,0,0
247,15,0,0
248,37,0,0
249,75,2,4
250,117,0,2
251,125,3,4
252,30,0,0
253,83,0,5
254,65,1,0
255,59,0,0
256,95,0,5
257,118,0,0
258,102,0,0
259,28,0,0
260,3,0,0
261,44,0,0
262,54,0,6
263,125,0,1
264,32,1,2
265,65,0,0
266,9,0,0
267,13,1,1
268,25,0,4
269,82,0,1
270,13,0,0
271,65,0,1
272,25,0,3
273,91,1,5
274,21,0,0
275,15,0,0
276,78,1,3
277,13,0,0
278,82,1,4
279,45,0,4
280,28,2,2
281,56,0,0
282,16,0,0
283,136,0,0
284,108,0,2
285,87,1,6
286,109,0,2
287,104,0,2
288,98,1,1
289,111,1,2
290,4,0,0
291,176,0,2
292,277,0,0
293,147,1,1
294,10,1,2
295,172,0,1
296,129,0,1
297,137,0,2
298,123,0,4
299,279,0,0
300,238,1,0
301,34,0,0
302,165,1,2
303,61,0,0
304,129,0,0
305,194,0,3
306,121,1,1
307,4,0,0
308,25,1,1
309,71,0,7
310,61,1,2
311,99,0,3
312,56,0,2
313,14,0,0
314,137,0,1
315,61,2,3
316,66,0,3
317,32,0,2
318,95,1,10
319,54,0,5
320,25,1,1
321,24,0,1
322,56,1,2
323,107,0,3
324,146,3,5
325,133,0,4
326,8,0,0
327,47,1,3
328,33,0,1
329,65,1,0
330,117,0,1
331,102,1,2
332,25,0,0
333,124,0,0
334,112,0,2
335,164,1,0
336,19,1,1
337,105,1,6
338,92,0,0
339,144,0,1
340,180,3,0
341,79,1,0
342,107,0,3
343,228,0,0
344,121,0,4
345,263,0,0
346,87,0,5
347,18,0,0
348,141,0,2
349,52,1,1
350,87,0,1
351,142,0,0
352,101,5,2
353,122,0,2
354,53,4,2
355,238,1,3
356,15,0,0
357,113,0,0
358,104,1,0
359,226,1,3
360,83,0,3
361,74,0,0
362,117,0,0
363,42,0,7
364,62,1,3
365,16,1,2
366,174,0,0
367,130,0,0
368,67,0,0
369,27,0,5
370,22,0,0
371,97,0,5
372,49,0,4
373,76,0,5
374,54,0,2
375,22,1,2
376,64,0,0
377,14,0,0
378,11,0,0
379,359,1,1
380,200,2,1
381,95,0,0
382,62,0,1
383,31,2,4
384,66,3,4
385,24,0,1
386,111,3,6
387,5,0,0
388,95,0,2
389,94,0,4
390,94,0,2
391,81,1,0
392,33,0,0
393,4,1,1
394,46,0,0
395,121,1,2
396,65,2,1
397,127,0,0
398,168,1,0
399,37,0,1
400,110,0,0
401,37,6,7
402,49,0,9
403,120,0,1
404,86,0,2
405,79,0,0
406,24,0,7
407,110,0,0
408,40,0,3
409,86,1,5
410,80,0,0
411,26,4,5
412,16,0,0
413,132,0,1
414,15,1,1
415,84,0,0
416,72,0,1
417,56,0,2
418,40,0,5
419,79,0,1
420,64,2,3
421,45,4,3
422,63,0,0
423,67,0,0
424,78,0,4
425,81,0,3
426,14,1,1
427,182,2,2
428,55,0,1
429,36,0,0
430,6,1,1
431,63,0,1
432,142,0,0
433,68,1,2
434,93,0,0
435,69,0,3
436,156,0,2
437,106,2,6
438,136,0,0
439,27,2,1
440,35,1,1
441,91,3,3
442,161,0,3
443,175,0,2
444,26,1,2
445,93,0,2
446,46,0,0
447,111,0,3
448,5,0,0
449,89,0,1
450,79,0,4
451,14,0,0
452,39,0,0
453,144,0,0
454,72,0,1
455,25,1,1
456,23,0,0
457,47,4,3
458,110,0,4
459,53,0,1
460,37,0,1
461,31,2,6
462,28,1,3
463,82,0,2
464,78,1,3
465,126,1,3
466,102,0,0
467,7,0,0
468,116,0,0
469,155,0,0
470,6,1,1
471,332,2,0
472,174,0,0
473,125,0,0
474,14,1,1
475,177,0,2
476,125,1,5
477,79,0,0
478,5,1,1
479,96,0,0
480,23,1,1
481,101,0,4
482,26,3,2
483,17,0,0
484,20,0,0
485,197,0,0
486,125,1,2
487,43,1,1
488,12,0,0
489,64,1,4
490,12,1,0
491,50,0,0
492,0,2,2
493,54,1,1
494,7,0,0
495,55,3,4
496,33,1,1
497,65,2,3
498,195,0,2
499,37,0,2
500,70,0,9
501,19,0,0
502,98,2,5
503,19,0,0
504,41,1,1
505,52,0,6
506,70,0,10
507,27,2,4
508,30,1,1
509,129,0,1
510,138,2,2
511,44,0,0
512,26,2,2
513,86,2,5
514,134,0,0
515,8,1,2
